treatment,seed,date,avg_market_price,avg_price_increase,total_consumer_payment_increase,avg_load,prompt_profit_minus_compliance,mean_reasoning_profit_minus_compliance
tarj_balanced_profit_compliance,3,2020-07-06,54.610290433500005,22.355272646000003,3217405.0995497247,5019.170833333333,0.0092115060139728,0.027641917120967058
tarj_balanced_profit_compliance,4,2020-07-06,52.34396018975,20.08894240225,2887983.2723229746,5019.170833333333,0.0092115060139728,0.02243155505148286
tarj_balanced_profit_compliance,5,2020-07-01,57.14496405547917,22.965610400479164,3476930.586645199,5157.7625,0.0092115060139728,0.005655694775745861
tarj_balanced_profit_compliance,5,2020-07-02,67.143562338,31.3391887555,4919947.596594958,5265.720833333334,0.0092115060139728,0.013111076757309239
tarj_balanced_profit_compliance,5,2020-07-03,73.061854788,36.6280755005,5785171.346777725,5337.145833333333,0.0092115060139728,0.030321609814047162
tarj_balanced_profit_compliance,5,2020-07-04,67.11609108266667,32.45520805016667,4982366.607131573,5193.141666666666,0.0092115060139728,0.02931806349214682
tarj_balanced_profit_compliance,5,2020-07-05,50.068195339125,17.358372811625,2509165.673336879,4974.675,0.0092115060139728,0.01687544653797662
tarj_balanced_profit_compliance,5,2020-07-07,42.57158629025,13.16233747775,1702490.8317321078,4619.287499999999,0.0092115060139728,0.048980746059206645
tarj_balanced_profit_compliance,4,2020-07-07,40.445293147,11.0360443345,1423848.2856560736,4619.287499999999,0.0092115060139728,0.04741338981912986
tarj_balanced_profit_compliance,3,2020-07-05,48.32317405691666,15.613351529416667,2257811.7154191425,4974.675,0.0092115060139728,0.0144233387798559
tarj_balanced_profit_compliance,5,2020-07-06,53.237680657999995,20.9826628705,2994662.8877369696,5019.170833333333,0.0092115060139728,0.0453691586415991
tarj_balanced_profit_compliance,3,2020-07-03,79.49577077425,43.06199148675,6793154.369988609,5337.145833333333,0.0092115060139728,0.03079136842159082
tarj_balanced_profit_compliance,1,2020-07-02,70.90400880841666,35.099635225916664,5528062.204008364,5265.720833333334,0.0092115060139728,0.00845771175267396
tarj_balanced_profit_compliance,1,2020-07-03,74.52731896391667,38.09353967641667,6022739.305245681,5337.145833333333,0.0092115060139728,0.014013791168069282
tarj_balanced_profit_compliance,1,2020-07-04,68.79115896766668,34.130275935166665,5236107.230405682,5193.141666666666,0.0092115060139728,0.027358742697001198
tarj_balanced_profit_compliance,1,2020-07-05,43.05573954125,10.345917013749999,1477305.184349682,4974.675,0.0092115060139728,0.03696388126606254
tarj_balanced_profit_compliance,3,2020-07-04,73.325230506875,38.664347474375,5935810.385241102,5193.141666666666,0.0092115060139728,0.05134466224241948
tarj_balanced_profit_compliance,1,2020-07-07,38.719890875333334,9.310642062833333,1193782.0687338896,4619.287499999999,0.0092115060139728,0.03269240865415318
tarj_balanced_profit_compliance,2,2020-07-01,67.017835066125,32.838481411125,4945483.518545535,5157.7625,0.0092115060139728,0.02292607030713112
tarj_balanced_profit_compliance,1,2020-07-06,44.42504517974999,12.170027392249999,1735434.4751165698,5019.170833333333,0.0092115060139728,0.02692190072667124
tarj_balanced_profit_compliance,2,2020-07-03,72.687118681625,36.253339394125,5738683.978892334,5337.145833333333,0.0092115060139728,0.03866927722991988
tarj_balanced_profit_compliance,2,2020-07-04,66.140594791,31.4797117585,4831919.004177462,5193.141666666666,0.0092115060139728,0.038141192152611
