treatment,round,max_firm_regret,total_current_profit
tarj_balanced_profit_compliance,30,12627.725441925602,137967.90937171786
tarj_balanced_profit_compliance,31,26291.687877006,226242.4647502814
tarj_balanced_profit_compliance,32,62147.41623558306,260294.76866229018
tarj_balanced_profit_compliance,33,133448.809920576,367270.73614708794
tarj_balanced_profit_compliance,34,269572.4120359321,482558.9191391761
tarj_balanced_profit_compliance,35,349965.8704455901,689725.0251157199
tarj_balanced_profit_compliance,36,311767.52430853207,1904824.3572657
tarj_balanced_profit_compliance,37,312314.69250550785,3655246.27147962
tarj_balanced_profit_compliance,38,277818.8654988721,5677717.61166915
tarj_balanced_profit_compliance,39,308646.24213733204,5994061.4119806
tarj_balanced_profit_compliance,40,436791.6839930939,5143729.040905785
tarj_balanced_profit_compliance,41,485209.3114935,3506052.01184064
tarj_balanced_profit_compliance,42,463864.1382770338,2040906.122204001
tarj_balanced_profit_compliance,43,386013.95730278414,1199825.525591688
tarj_balanced_profit_compliance,44,381321.4149383882,912018.2540389965
tarj_balanced_profit_compliance,45,290031.627047427,348200.4945693065
tarj_balanced_profit_compliance,46,192583.4706970561,235533.6729464145
tarj_balanced_profit_compliance,47,61365.96548356802,114293.8135150357
tarj_balanced_profit_compliance,48,23574.429164253,92736.9170981001
tarj_balanced_profit_compliance,49,17048.444890599,83066.77050030004
tarj_balanced_profit_compliance,50,14166.681359778002,83066.77050030004
tarj_balanced_profit_compliance,51,12405.841835903995,80861.55059430008
tarj_balanced_profit_compliance,52,12046.252217472,80861.55059430008
tarj_balanced_profit_compliance,53,14446.793849895,80861.55059430008
tarj_balanced_profit_compliance,54,13512.37710366,138279.92308096506
tarj_balanced_profit_compliance,55,32212.14582145799,211193.11871677055
tarj_balanced_profit_compliance,56,70474.39783394556,261998.3306797277
tarj_balanced_profit_compliance,57,145786.359326271,370486.97532844794
tarj_balanced_profit_compliance,58,286188.447821478,491859.51280893595
tarj_balanced_profit_compliance,59,359785.52188089606,1150455.987300159
tarj_balanced_profit_compliance,60,331131.6407685721,1924850.19712995
tarj_balanced_profit_compliance,61,327643.1515826278,4444250.0241201
tarj_balanced_profit_compliance,62,271567.4250783239,5867225.71098426
tarj_balanced_profit_compliance,63,309867.55379514006,5997419.7368274
tarj_balanced_profit_compliance,64,438734.67981233384,5499061.591734495
tarj_balanced_profit_compliance,65,489123.06021511205,3683851.8142338004
tarj_balanced_profit_compliance,66,424173.22392450005,2494795.9740736024
tarj_balanced_profit_compliance,67,397530.753829932,1131861.6156178259
tarj_balanced_profit_compliance,68,376466.8011556442,874509.3504888854
tarj_balanced_profit_compliance,69,294246.13464510307,348829.7577968335
tarj_balanced_profit_compliance,70,209397.0946526461,211790.8808593713
tarj_balanced_profit_compliance,71,91899.97207374002,134770.85864519997
tarj_balanced_profit_compliance,72,34995.69862042802,93037.25656710009
tarj_balanced_profit_compliance,73,18328.77873636,93037.25656710009
tarj_balanced_profit_compliance,74,15798.761580177004,83066.77050030004
tarj_balanced_profit_compliance,75,13151.121617097,83066.77050030004
tarj_balanced_profit_compliance,76,11870.671349097,80861.55059430008
tarj_balanced_profit_compliance,77,13123.616425821,80861.55059430008
tarj_balanced_profit_compliance,78,12842.099288757,81186.86695874007
tarj_balanced_profit_compliance,79,26150.6312753166,139439.81921870986
tarj_balanced_profit_compliance,80,49001.61651420752,232324.2170169968
tarj_balanced_profit_compliance,81,100118.42783463004,321301.32606059994
tarj_balanced_profit_compliance,82,183796.00969775708,434929.403530977
tarj_balanced_profit_compliance,83,323188.49930779205,590886.5480413198
tarj_balanced_profit_compliance,84,320674.83665795415,1838051.183243292
tarj_balanced_profit_compliance,85,297528.85396668606,3270875.586869781
tarj_balanced_profit_compliance,86,252068.0069291878,5226688.41766938
tarj_balanced_profit_compliance,87,254511.71711151593,5643364.2563289
tarj_balanced_profit_compliance,88,352360.5977686977,5160048.414556425
tarj_balanced_profit_compliance,89,392745.01614347985,3321428.51154591
tarj_balanced_profit_compliance,90,368416.865711082,1839265.9391045698
tarj_balanced_profit_compliance,91,322330.854184752,1073138.153913552
tarj_balanced_profit_compliance,92,314591.1130653601,486265.840490636
tarj_balanced_profit_compliance,93,269314.5294588511,323677.382538229
tarj_balanced_profit_compliance,94,196401.301099002,194310.9095594669
tarj_balanced_profit_compliance,95,88691.17069912807,134770.85864519997
tarj_balanced_profit_compliance,96,34181.85158257198,93037.25656710009
tarj_balanced_profit_compliance,97,18627.800025084,93037.25656710009
tarj_balanced_profit_compliance,98,16254.345902148005,83066.77050030004
tarj_balanced_profit_compliance,99,13387.102304193004,83066.77050030004
tarj_balanced_profit_compliance,100,12058.894039995,80861.55059430008
tarj_balanced_profit_compliance,101,10496.926634931004,80861.55059430008
tarj_balanced_profit_compliance,102,9668.751498516003,80861.55059430008
tarj_balanced_profit_compliance,103,25413.290829996004,118743.50745121487
tarj_balanced_profit_compliance,104,32978.1781466418,153707.0176445312
tarj_balanced_profit_compliance,105,61498.788195289446,248296.38543604533
tarj_balanced_profit_compliance,106,126798.783290556,327076.1101226399
tarj_balanced_profit_compliance,107,266716.632044118,353885.66005632
tarj_balanced_profit_compliance,108,328946.0217807001,477706.2641606
tarj_balanced_profit_compliance,109,349029.60668677196,1246432.289711484
tarj_balanced_profit_compliance,110,337422.30401636416,2341300.6734325257
tarj_balanced_profit_compliance,111,396016.4371337939,2958990.1332470546
tarj_balanced_profit_compliance,112,394937.94465984,2957185.3834916996
tarj_balanced_profit_compliance,113,402831.266926017,2114742.5928450897
tarj_balanced_profit_compliance,114,355975.8359822942,1072002.3293177206
tarj_balanced_profit_compliance,115,341737.63910384406,431294.16845218197
tarj_balanced_profit_compliance,116,329930.65460670006,384387.90683157
tarj_balanced_profit_compliance,117,222050.42979963133,229359.4776415257
tarj_balanced_profit_compliance,118,103623.46685972394,136011.00260299176
tarj_balanced_profit_compliance,119,60052.12555065605,93037.25656710009
tarj_balanced_profit_compliance,120,21944.747941676993,93037.25656710009
tarj_balanced_profit_compliance,121,17383.758625770002,93037.25656710009
tarj_balanced_profit_compliance,122,15573.085135857002,83066.77050030004
tarj_balanced_profit_compliance,123,13724.217571473002,83066.77050030004
tarj_balanced_profit_compliance,124,13249.446903387,83066.77050030004
tarj_balanced_profit_compliance,125,13219.9493175,83066.77050030004
tarj_balanced_profit_compliance,126,16258.577335479002,93983.02220761385
tarj_balanced_profit_compliance,127,31117.96071617401,158721.97750302605
tarj_balanced_profit_compliance,128,40865.691234634185,176641.19440593588
tarj_balanced_profit_compliance,129,101045.47888204805,297228.19397524797
tarj_balanced_profit_compliance,130,155812.5047470021,347586.3442455301
tarj_balanced_profit_compliance,131,302436.72596756706,444914.24315762706
tarj_balanced_profit_compliance,132,361625.397559176,528742.5789957689
tarj_balanced_profit_compliance,133,320668.5988360201,2677573.2368969996
tarj_balanced_profit_compliance,134,337828.84347795614,2977094.12279706
tarj_balanced_profit_compliance,135,343285.03098879603,2987250.87472821
